name,junctions,edges,length
similarity_average_similarity_sg,196,270,25736
bottleneck_sg,181,231,23974
similarity_maximal_similarity_sg,191,250,24516
default_sg,274,544,52586
similarity_average_dissimilarity_sg,201,313,31040
similarity_minimal_similarity_sg,223,317,30535
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
11_27_53_Sydney,2769.55,7.14,414.40,135.57,235.01,3.31,-1.00,66719.00,533.00
bottleneck_planned_1,3015.91,7.21,445.99,146.60,248.65,3.57,-1.00,71805.00,574.00
similarity_average_dissimilarity_planned_1,2813.01,7.55,384.54,110.73,202.29,3.43,-1.00,61911.00,552.00
similarity_average_similarity_planned_1,2903.55,7.32,413.35,140.63,226.78,3.23,-1.00,66549.00,520.00
similarity_maximal_similarity_planned_1,2817.31,7.46,401.66,127.25,222.02,3.22,-1.00,64667.00,518.00
similarity_minimal_similarity_planned_1,2802.79,7.47,397.58,123.16,215.58,3.51,-1.00,64010.00,565.00
