name,junctions,edges,length
New_York,212,455,51820
default_sg,110,250,21372
similarity_average_dissimilarity_sg,90,187,16091
similarity_average_similarity_sg,94,185,15857
similarity_maximal_similarity_sg,88,164,14339
similarity_minimal_similarity_sg,95,190,16391
similarity_shortest_length_sg,90,175,15250
name,total_results,initial_results,problem_count
22_06_23_new_york_similarity_shortest_length_planned,8,8,20
22_06_23_new_york_similarity_average_dissimilarity_planned,6,6,20
22_06_23_new_york_default_planned,1,1,20
22_06_23_new_york_similarity_maximal_similarity_planned,8,8,20
22_06_23_new_york_similarity_average_similarity_planned,6,6,20
22_06_23_new_york_similarity_minimal_similarity_planned,5,5,20
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
22_06_23_new_york,1890.95,1.74,2453.69,1920.52,2346.35,668.17,-1.00,1913878.00,521169.00
default_planned_1,1892.13,1.66,2528.34,1991.28,2420.84,751.24,-1.00,1972106.00,585970.00
similarity_average_dissimilarity_planned_1,1928.92,1.83,2321.16,1863.02,2207.27,694.56,-1.00,1810505.00,541760.00
similarity_average_similarity_planned_1,1949.56,1.88,2336.33,1882.06,2222.45,653.56,-1.00,1822337.00,509779.00
similarity_maximal_similarity_planned_1,2147.30,2.19,2423.08,1578.68,2299.25,739.99,-1.00,777809.00,237537.52
similarity_minimal_similarity_planned_1,1948.32,2.04,2081.13,1641.75,1966.27,547.55,-1.00,1623280.00,427092.00
similarity_shortest_length_planned_1,2218.99,2.20,1918.51,1266.99,1788.25,386.05,-1.00,546774.00,110024.52
