name,junctions,edges,length
Sydney,441,1061,106541
default_sg,268,504,47589
similarity_average_dissimilarity_sg,225,337,31551
similarity_average_similarity_sg,224,318,29213
similarity_maximal_similarity_sg,225,309,29498
similarity_minimal_similarity_sg,228,359,32213
similarity_shortest_length_sg,218,296,27791
name,total_results,initial_results,problem_count
19_59_48_sydney_similarity_maximal_similarity_planned,2,2,20
19_59_48_sydney_similarity_average_dissimilarity_planned,2,2,20
19_59_48_sydney_similarity_average_similarity_planned,2,2,20
19_59_48_sydney_similarity_shortest_length_planned,5,5,20
19_59_48_sydney_default_planned,0,0,20
19_59_48_sydney_similarity_minimal_similarity_planned,2,2,20
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
19_59_48_sydney,2995.57,4.77,778.50,427.86,575.72,41.55,-1.00,557406.00,29747.00
similarity_average_dissimilarity_planned_1,3017.76,5.07,727.06,380.36,523.30,40.92,-1.00,520576.00,29300.00
similarity_average_similarity_planned_1,3019.38,5.06,723.52,376.40,518.91,52.82,-1.00,518039.00,37817.00
similarity_maximal_similarity_planned_1,3013.80,5.13,713.62,366.50,509.52,57.85,-1.00,510954.00,41418.00
similarity_minimal_similarity_planned_1,3022.60,5.13,723.78,379.89,519.03,45.58,-1.00,518223.00,32635.00
similarity_shortest_length_planned_1,3041.27,5.29,700.75,357.47,495.18,31.74,-1.00,501738.00,22723.00
