name,junctions,edges,length
Sydney,441,1061,106541
default_sg,132,215,20322
similarity_average_dissimilarity_sg,103,146,13872
similarity_average_similarity_sg,93,138,12489
similarity_maximal_similarity_sg,98,133,11797
similarity_minimal_similarity_sg,106,149,13759
similarity_shortest_length_sg,90,123,12000
name,total_results,initial_results,problem_count
18_16_28_sydney_similarity_average_similarity_planned,1,1,4
18_16_28_sydney_similarity_minimal_similarity_planned,1,1,4
18_16_28_sydney_similarity_shortest_length_planned,2,2,4
18_16_28_sydney_default_planned,0,0,4
18_16_28_sydney_similarity_maximal_similarity_planned,4,4,4
18_16_28_sydney_similarity_average_dissimilarity_planned,1,1,4
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
18_16_28_sydney,2397.47,7.20,342.94,110.74,179.00,11.52,-1.00,40124.00,1348.00
similarity_average_dissimilarity_planned_1,2429.29,7.21,346.91,112.34,182.86,10.86,-1.00,40588.00,1271.00
similarity_average_similarity_planned_1,2473.71,7.30,348.36,110.70,180.57,10.86,-1.00,40758.00,1271.00
similarity_maximal_similarity_planned_1,2796.04,7.14,423.85,129.26,229.33,10.91,-1.00,49591.00,1276.00
similarity_minimal_similarity_planned_1,2487.03,7.27,350.83,109.80,180.75,11.50,-1.00,41047.00,1345.00
similarity_shortest_length_planned_1,2483.47,7.36,353.00,116.11,184.97,10.86,-1.00,41301.00,1271.00
